p = 824258220776943547152055/1208925819614631881591232
p_float = 0.681810420
gap = -0.000018
tau_decl = 1/10000
worst_dev = 9.0000e-05
support = 257
K = 2^60
enclosures: integer (lo, hi) per row j=1..256

(1153025267542253836, 1153025267542253838),
(2305946772149101363, 2305946772149101365),
(3458868276755931320, 3458868276755931322),
(4611789781362793322, 4611789781362793324),
(5764711285970045254, 5764711285970045256),
(6917632790576514206, 6917632790576514208),
(8070554295183535819, 8070554295183535821),
(9223475799790141774, 9223475799790141776),
(10376397304397009693, 10376397304397009695),
(11529318809003935914, 11529318809003935916),
(12682240313610747216, 12682240313610747218),
(13835161818217318975, 13835161818217318977),
(14988083322824419999, 14988083322824420001),
(16141004827431319815, 16141004827431319817),
(17293926332038069960, 17293926332038069962),
(18446847836644843942, 18446847836644843944),
(19599769341251437369, 19599769341251437371),
(20752690845858927378, 20752690845858927380),
(21905612350465510620, 21905612350465510622),
(23058533855072058370, 23058533855072058372),
(24211455359678979439, 24211455359678979441),
(25364376864287705582, 25364376864287705584),
(26517298368892844260, 26517298368892844262),
(27670219873499993203, 27670219873499993205),
(28823141378106470078, 28823141378106470080),
(29976062882713376656, 29976062882713376658),
(31128984387320242155, 31128984387320242157),
(32281905891927000499, 32281905891927000501),
(33434827396533869269, 33434827396533869271),
(34587748901140696817, 34587748901140696819),
(35740670405747467144, 35740670405747467146),
(36893591910354280483, 36893591910354280485),
(38046513414961264172, 38046513414961264174),
(39199434919568722459, 39199434919568722461),
(40352356424175323431, 40352356424175323433),
(41505277928781397697, 41505277928781397699),
(42658199433388031168, 42658199433388031170),
(43811120937995866429, 43811120937995866431),
(44964042442602321552, 44964042442602321554),
(46116963947209192829, 46116963947209192831),
(47269885451815910179, 47269885451815910181),
(48422806956422332086, 48422806956422332088),
(49575728461029625202, 49575728461029625204),
(50728649965638097175, 50728649965638097177),
(51881571470243849564, 51881571470243849566),
(53034492974850082932, 53034492974850082934),
(54187414479457067651, 54187414479457067653),
(55340335984064851101, 55340335984064851103),
(56493257488670562890, 56493257488670562892),
(57646178993277999451, 57646178993277999453),
(58799100497884611509, 58799100497884611511),
(59952022002493692094, 59952022002493692096),
(61104943507098180655, 61104943507098180657),
(62257865011704308598, 62257865011704308600),
(63410786516312038847, 63410786516312038849),
(64563708020920582448, 64563708020920582450),
(65716629525525078620, 65716629525525078622),
(66869551030132522785, 66869551030132522787),
(68022472534739908637, 68022472534739908639),
(69175394039346494095, 69175394039346494097),
(70328315543953189529, 70328315543953189531),
(71481237048561247676, 71481237048561247678),
(72634158553166816489, 72634158553166816491),
(73787080057773781032, 73787080057773781034),
(74940001562380339463, 74940001562380339465),
(76092923066987536377, 76092923066987536379),
(77245844571593793145, 77245844571593793147),
(78398766076200563363, 78398766076200563365),
(79551687580807415243, 79551687580807415245),
(80704609085412640441, 80704609085412640443),
(81857530590021304391, 81857530590021304393),
(83010452094628521508, 83010452094628521510),
(84163373599234331016, 84163373599234331018),
(85316295103842545046, 85316295103842545048),
(86469216608448089725, 86469216608448089727),
(87622138113053528722, 87622138113053528724),
(88775059617662564468, 88775059617662564470),
(89927981122270209793, 89927981122270209795),
(91080902626876461130, 91080902626876461132),
(92233824131483400094, 92233824131483400096),
(93386745636090929297, 93386745636090929299),
(94539667140699492909, 94539667140699492911),
(95692588645303500423, 95692588645303500425),
(96845510149910022629, 96845510149910022631),
(97998431654517342360, 97998431654517342362),
(99151353159127453055, 99151353159127453057),
(100304274663732665520, 100304274663732665522),
(101457196168338403835, 101457196168338403837),
(102610117672946319010, 102610117672946319012),
(103763039177544970699, 103763039177544970701),
(104915960682158213994, 104915960682158213996),
(106068882186762914403, 106068882186762914405),
(107221803691372105217, 107221803691372105219),
(108374725195982570358, 108374725195982570360),
(109527646700585642852, 109527646700585642854),
(110680568205187380705, 110680568205187380707),
(111833489709803089141, 111833489709803089143),
(112986411214409249695, 112986411214409249697),
(114139332719013296451, 114139332719013296453),
(115292254223619309435, 115292254223619309437),
(116445175728227248384, 116445175728227248386),
(117598097232828723791, 117598097232828723793),
(118751018737441570191, 118751018737441570193),
(119903940242052891955, 119903940242052891957),
(121056861746652825829, 121056861746652825831),
(122209783251258846452, 122209783251258846454),
(123362704755868619010, 123362704755868619012),
(124515626260471683816, 124515626260471683818),
(125668547765084992880, 125668547765084992882),
(126821469269693319023, 126821469269693319025),
(127974390774294609352, 127974390774294609354),
(129127312278897852621, 129127312278897852623),
(130280233783508399243, 130280233783508399245),
(131433155288109999003, 131433155288109999005),
(132586076792723355697, 132586076792723355699),
(133738998297331773653, 133738998297331773655),
(134891919801934864529, 134891919801934864531),
(136044841306541475752, 136044841306541475754),
(137197762811153579724, 137197762811153579726),
(138350684315755302747, 138350684315755302749),
(139503605820364011249, 139503605820364011251),
(140656527324973993908, 140656527324973993910),
(141809448829576654864, 141809448829576654866),
(142962370334184491432, 142962370334184491434),
(144115291838790895517, 144115291838790895519),
(145268213343397979077, 145268213343397979079),
(146421134848003453263, 146421134848003453265),
(147574056352624983977, 147574056352624983979),
(148726977857217249185, 148726977857217249187),
(149879899361822884100, 149879899361822884102),
(151032820866432835335, 151032820866432835337),
(152185742371039572497, 152185742371039572499),
(153338663875643927882, 153338663875643927884),
(154491585380259313984, 154491585380259313986),
(155644506884863233159, 155644506884863233161),
(156797428389463757548, 156797428389463757550),
(157950349894076750759, 157950349894076750761),
(159103271398676671062, 159103271398676671064),
(160256192903285076144, 160256192903285076146),
(161409114407896256331, 161409114407896256333),
(162562035912498901813, 162562035912498901815),
